restaurant_id,name,category,price_tier,neighborhood,opening_hours,average_rating,good_for_kids
48,The Hungry Hippo,French,cheap,Greenpoint,10:15,3.7,true
49,Crispy Crust Pizzeria,Mediterranean,cheap,Park Slope,16:20,3.3,true
50,The Velvet Fork,Greek,expensive,Williamsburg,14:09,2.0,true
51,Sizzle & Spice,Italian,cheap,Jackson Heights,12:47,1.8,true
52,Flamingo Bistro,French,cheap,Chelsea,2:31,1.8,false
53,The Hungry Hippo,Greek,medium,Williamsburg,18:27,2.1,true
54,Ocean Blue Grill,Italian,medium,Upper East Side,10:34,4.6,false
55,Crispy Crust Pizzeria,American,expensive,Bushwick,10:06,2.6,false
56,Crispy Crust Pizzeria,Indian,cheap,Upper East Side,2:36,0.7,false
57,Flamingo Bistro,Mediterranean,expensive,Park Slope,13:07,4.9,true
58,The Hungry Hippo,Indian,expensive,Chelsea,6:23,2.5,false
59,Sizzle & Spice,Japanese,medium,Astoria,7:15,0.7,true
60,Whisk & Ladle,Mexican,expensive,Astoria,9:31,4.8,false
61,Flamingo Bistro,Japanese,expensive,Chelsea,11:36,0.6,true
62,Mango Tango,Italian,cheap,Greenpoint,5:17,2.5,true
63,The Velvet Fork,Thai,expensive,Astoria,0:41,3.9,true
64,Saffron Delight,Mediterranean,cheap,Jackson Heights,23:58,1.6,true
65,Sizzle & Spice,Thai,cheap,Hell's Kitchen,15:18,2.6,false
66,The Velvet Fork,Mexican,medium,Williamsburg,14:02,0.1,true
67,Saffron Delight,Italian,medium,Astoria,21:25,4.0,false
68,Ocean Blue Grill,Greek,expensive,Greenpoint,19:13,1.7,false
69,The Cozy Corner,Mediterranean,medium,Jackson Heights,8:44,3.3,false
70,The Hungry Hippo,Mexican,cheap,Greenpoint,23:09,4.6,false
71,Sizzle & Spice,Italian,cheap,Williamsburg,8:49,2.1,false
72,Ocean Blue Grill,American,cheap,Jackson Heights,4:23,0.7,false
73,Sizzle & Spice,French,cheap,Chelsea,23:46,3.8,true
74,Saffron Delight,Italian,expensive,Hell's Kitchen,21:29,2.8,false
75,The Cozy Corner,French,expensive,Bushwick,22:15,0.4,false
76,Saffron Delight,Thai,expensive,Astoria,23:15,3.5,false
77,Flamingo Bistro,American,expensive,Park Slope,9:22,1.5,false
78,The Cozy Corner,Chinese,medium,Astoria,21:17,1.6,true
79,The Velvet Fork,American,expensive,Park Slope,2:52,1.7,true
80,Ocean Blue Grill,Italian,medium,Hell's Kitchen,17:41,2.4,true
81,The Cozy Corner,Indian,medium,Greenpoint,22:07,1.8,true
82,The Cozy Corner,Mexican,medium,Upper East Side,4:57,3.3,false
83,Flamingo Bistro,Japanese,expensive,Bushwick,0:13,0.6,false
84,Ocean Blue Grill,Mexican,medium,Bushwick,5:21,1.6,false
85,Whisk & Ladle,Greek,cheap,Jackson Heights,7:32,1.4,true
86,Saffron Delight,Indian,expensive,Greenpoint,9:52,4.6,true
87,Flamingo Bistro,Greek,cheap,Greenpoint,6:46,3.4,false
88,Mango Tango,Indian,medium,Harlem,2:21,1.1,false
89,Whisk & Ladle,Chinese,expensive,Chelsea,20:56,4.9,false
90,The Velvet Fork,Chinese,cheap,Astoria,16:08,3.9,true
91,Sizzle & Spice,American,medium,Chelsea,6:40,1.8,false
92,The Hungry Hippo,Italian,expensive,Williamsburg,0:07,3.2,true
93,Flamingo Bistro,Mexican,cheap,Upper East Side,16:28,1.7,true
94,Mango Tango,American,cheap,Astoria,17:45,1.1,true
95,Crispy Crust Pizzeria,Greek,medium,Astoria,8:43,2.4,true
96,Saffron Delight,French,medium,Williamsburg,6:55,4.4,true
97,The Hungry Hippo,Mexican,expensive,Williamsburg,19:31,4.5,false
98,The Cozy Corner,Thai,medium,Park Slope,19:03,0.8,true
99,Whisk & Ladle,Chinese,cheap,Harlem,0:35,1.1,true
100,The Hungry Hippo,Chinese,medium,Upper East Side,14:36,4.4,false
101,Saffron Delight,Japanese,medium,Bushwick,2:02,1.8,true
102,Saffron Delight,Mexican,cheap,Williamsburg,9:33,0.9,false
103,The Hungry Hippo,American,expensive,Chelsea,3:32,0.2,false
104,Flamingo Bistro,Thai,expensive,Astoria,16:38,0.7,true
105,The Velvet Fork,Mediterranean,expensive,Williamsburg,5:58,2.9,true
106,The Cozy Corner,American,medium,Harlem,10:39,0.3,true
107,The Hungry Hippo,Mediterranean,cheap,Park Slope,17:49,3.4,true
108,Whisk & Ladle,American,medium,Jackson Heights,12:43,1.7,true
109,Whisk & Ladle,Mexican,cheap,Upper East Side,13:30,2.4,true
110,Crispy Crust Pizzeria,American,expensive,Jackson Heights,0:12,1.0,false
111,Mango Tango,Italian,medium,Hell's Kitchen,11:51,3.9,false
112,Mango Tango,Chinese,expensive,Harlem,13:17,2.6,false
113,Crispy Crust Pizzeria,American,expensive,Williamsburg,0:15,0.5,true
114,Ocean Blue Grill,Italian,cheap,Chelsea,18:15,0.6,true
115,Ocean Blue Grill,Greek,medium,Bushwick,6:05,0.9,false
116,Sizzle & Spice,French,expensive,Astoria,6:46,4.4,true
117,Mango Tango,American,expensive,Hell's Kitchen,10:16,1.1,true
118,The Hungry Hippo,Mexican,cheap,Harlem,6:50,4.7,true
119,Whisk & Ladle,French,cheap,Upper East Side,19:22,4.9,false
120,The Cozy Corner,Mediterranean,medium,Astoria,4:33,0.9,true
121,The Cozy Corner,Mexican,cheap,Bushwick,18:57,4.8,false
122,Ocean Blue Grill,Mediterranean,medium,Upper East Side,8:37,3.4,true
123,Crispy Crust Pizzeria,Chinese,expensive,Upper East Side,14:47,0.9,false
124,The Velvet Fork,Thai,cheap,Williamsburg,11:15,2.8,false
125,Mango Tango,Thai,medium,Astoria,20:10,4.9,true
126,Crispy Crust Pizzeria,Italian,medium,Astoria,20:14,2.8,false
127,Flamingo Bistro,French,cheap,Greenpoint,7:53,0.8,true
128,Saffron Delight,Japanese,medium,Bushwick,18:08,1.2,true
129,Mango Tango,Thai,cheap,Williamsburg,6:29,1.9,false
130,The Velvet Fork,French,cheap,Upper East Side,11:42,1.9,false
131,Mango Tango,Mediterranean,medium,Williamsburg,1:52,1.2,true
132,Mango Tango,Italian,cheap,Astoria,9:46,2.2,false
133,Whisk & Ladle,Italian,cheap,Hell's Kitchen,8:27,0.1,false
134,Flamingo Bistro,American,expensive,Greenpoint,1:44,0.6,false
135,Ocean Blue Grill,Mediterranean,medium,Astoria,16:22,0.1,true
136,The Velvet Fork,Mediterranean,medium,Astoria,4:49,1.8,false
137,The Cozy Corner,Mexican,expensive,Upper East Side,1:26,4.0,true
138,Ocean Blue Grill,Indian,cheap,Greenpoint,17:22,0.9,true
139,The Cozy Corner,Chinese,cheap,Upper East Side,9:33,1.5,true
140,The Velvet Fork,Mexican,medium,Park Slope,14:33,4.7,false
141,The Hungry Hippo,Japanese,medium,Chelsea,3:51,3.1,false
142,Ocean Blue Grill,Mediterranean,expensive,Park Slope,21:12,2.3,true
143,Whisk & Ladle,Mediterranean,medium,Greenpoint,4:08,4.7,false
144,The Cozy Corner,Greek,expensive,Bushwick,10:22,1.5,false
145,Flamingo Bistro,Indian,medium,Chelsea,0:12,4.9,false
146,Ocean Blue Grill,Chinese,cheap,Jackson Heights,8:59,4.2,true
147,Saffron Delight,Mediterranean,cheap,Jackson Heights,1:28,2.1,false
148,Whisk & Ladle,American,medium,Chelsea,6:18,3.9,true
149,The Hungry Hippo,Mexican,medium,Hell's Kitchen,8:08,3.1,true
150,Crispy Crust Pizzeria,Greek,expensive,Upper East Side,4:09,0.3,false
151,Ocean Blue Grill,Mediterranean,medium,Upper East Side,2:07,2.6,false
152,The Cozy Corner,Japanese,expensive,Greenpoint,15:59,4.8,false
153,Saffron Delight,American,cheap,Harlem,2:06,4.1,false
154,Flamingo Bistro,French,medium,Bushwick,21:30,0.8,true
155,The Hungry Hippo,Mediterranean,expensive,Harlem,0:05,0.7,false
156,The Velvet Fork,French,cheap,Williamsburg,13:57,1.2,false
157,The Velvet Fork,Chinese,medium,Hell's Kitchen,0:18,1.0,false
158,Saffron Delight,Indian,medium,Park Slope,4:27,4.1,true
159,Ocean Blue Grill,Mexican,medium,Jackson Heights,11:07,0.3,false
160,Saffron Delight,Greek,cheap,Upper East Side,15:36,1.3,true
161,Whisk & Ladle,Thai,cheap,Greenpoint,18:17,3.9,false
162,The Hungry Hippo,Italian,expensive,Park Slope,16:07,3.4,false
163,Mango Tango,Indian,cheap,Bushwick,0:48,2.1,false
164,Saffron Delight,American,cheap,Jackson Heights,21:31,0.4,true
165,Flamingo Bistro,Greek,medium,Williamsburg,4:08,2.1,false
166,Flamingo Bistro,Mediterranean,expensive,Jackson Heights,8:39,0.5,true
167,Mango Tango,American,expensive,Hell's Kitchen,12:49,2.3,true
168,Mango Tango,Indian,medium,Upper East Side,23:20,4.2,true
169,The Velvet Fork,Mexican,expensive,Harlem,8:38,0.8,false
170,Flamingo Bistro,Greek,cheap,Chelsea,12:50,2.7,true
171,Flamingo Bistro,Italian,cheap,Harlem,4:55,1.3,false
172,Mango Tango,Chinese,cheap,Greenpoint,10:44,2.9,true
173,Whisk & Ladle,French,cheap,Williamsburg,23:52,3.6,true
174,Sizzle & Spice,Japanese,expensive,Upper East Side,17:08,3.6,false
175,Crispy Crust Pizzeria,Chinese,medium,Williamsburg,12:02,3.6,true
176,Sizzle & Spice,Indian,medium,Bushwick,7:29,4.8,true
177,Sizzle & Spice,Italian,medium,Upper East Side,10:02,3.3,false
178,Flamingo Bistro,Greek,medium,Harlem,0:52,3.1,true
179,Saffron Delight,French,medium,Hell's Kitchen,23:34,1.3,false
180,Ocean Blue Grill,French,cheap,Upper East Side,22:29,1.8,false
181,Ocean Blue Grill,French,cheap,Bushwick,11:52,3.7,true
182,The Hungry Hippo,Japanese,expensive,Harlem,8:33,1.7,false
183,The Cozy Corner,Greek,medium,Greenpoint,22:07,2.6,false
184,The Hungry Hippo,Italian,medium,Harlem,11:36,4.6,true
185,Flamingo Bistro,Indian,medium,Harlem,20:32,0.7,true
186,The Cozy Corner,Greek,medium,Chelsea,0:38,1.8,true
187,Saffron Delight,Mediterranean,medium,Chelsea,12:11,0.8,true
188,Sizzle & Spice,Chinese,medium,Hell's Kitchen,14:53,4.1,true
189,Mango Tango,Greek,expensive,Harlem,21:07,0.9,false
190,Mango Tango,Mexican,expensive,Chelsea,1:18,0.4,true
191,The Cozy Corner,Chinese,cheap,Hell's Kitchen,21:51,0.3,false
192,Mango Tango,Italian,medium,Park Slope,8:45,0.3,true
193,The Cozy Corner,Italian,cheap,Greenpoint,22:16,0.8,false
194,Sizzle & Spice,Mexican,cheap,Williamsburg,8:25,1.1,false
195,Flamingo Bistro,American,medium,Williamsburg,2:22,1.8,true
196,Sizzle & Spice,Greek,cheap,Jackson Heights,11:00,5.0,false
197,The Cozy Corner,Italian,cheap,Williamsburg,4:55,4.0,true
198,Whisk & Ladle,Japanese,cheap,Harlem,17:51,1.8,false
199,Mango Tango,Japanese,cheap,Harlem,13:20,3.1,false
200,Mango Tango,Indian,expensive,Chelsea,13:36,3.5,false
201,The Hungry Hippo,Mediterranean,cheap,Upper East Side,22:51,4.4,true
202,Ocean Blue Grill,Greek,cheap,Williamsburg,5:59,0.3,true
203,Sizzle & Spice,Italian,expensive,Bushwick,11:22,3.7,false
204,Crispy Crust Pizzeria,Indian,cheap,Harlem,16:56,3.0,true
205,Ocean Blue Grill,American,expensive,Williamsburg,14:40,0.7,false
206,Mango Tango,Indian,medium,Astoria,18:21,0.1,false
207,The Velvet Fork,Mexican,cheap,Greenpoint,23:58,3.4,true
208,Mango Tango,Greek,cheap,Hell's Kitchen,12:58,4.6,false
209,Mango Tango,Italian,cheap,Harlem,4:00,0.8,true
210,Sizzle & Spice,Mediterranean,medium,Harlem,1:37,1.9,false
211,The Velvet Fork,Mediterranean,expensive,Harlem,11:55,2.6,false
212,Flamingo Bistro,Mediterranean,medium,Greenpoint,21:09,5.0,true
213,Flamingo Bistro,Chinese,expensive,Chelsea,4:10,2.5,false
214,The Velvet Fork,Thai,expensive,Park Slope,10:24,0.5,false
215,The Cozy Corner,Indian,expensive,Greenpoint,15:39,1.1,false
216,Crispy Crust Pizzeria,French,expensive,Williamsburg,3:47,4.8,true
217,Mango Tango,American,medium,Hell's Kitchen,5:12,4.2,false
218,Crispy Crust Pizzeria,Japanese,cheap,Chelsea,12:17,1.7,false
219,Mango Tango,Chinese,expensive,Jackson Heights,3:50,3.0,false
220,Flamingo Bistro,Italian,medium,Upper East Side,16:26,2.4,false
221,Flamingo Bistro,Mexican,expensive,Park Slope,5:01,1.0,false
222,Ocean Blue Grill,Mediterranean,medium,Chelsea,1:26,4.1,false
223,Saffron Delight,Indian,cheap,Greenpoint,15:37,3.4,true
224,Crispy Crust Pizzeria,Mexican,expensive,Chelsea,16:26,3.6,false
225,Sizzle & Spice,Thai,expensive,Jackson Heights,10:15,3.7,false
226,Mango Tango,Thai,cheap,Greenpoint,18:25,2.5,false
227,The Velvet Fork,Thai,expensive,Jackson Heights,16:41,4.5,false
228,Flamingo Bistro,American,cheap,Chelsea,13:22,2.8,true
229,Sizzle & Spice,French,medium,Jackson Heights,17:25,0.5,false
230,Ocean Blue Grill,French,cheap,Bushwick,8:07,1.1,false
231,Flamingo Bistro,American,medium,Astoria,5:41,3.5,true
232,Whisk & Ladle,Indian,cheap,Harlem,8:04,0.7,true
233,Whisk & Ladle,American,medium,Upper East Side,22:19,3.1,true
234,Crispy Crust Pizzeria,Indian,expensive,Bushwick,0:04,1.0,true
235,The Cozy Corner,Thai,medium,Park Slope,4:01,3.4,true
236,The Cozy Corner,French,expensive,Park Slope,13:13,2.1,true
237,The Velvet Fork,Indian,expensive,Chelsea,22:35,3.7,false
238,The Hungry Hippo,Mexican,cheap,Bushwick,21:19,1.0,true
239,The Hungry Hippo,Mexican,medium,Greenpoint,6:08,3.1,false
240,Flamingo Bistro,Chinese,medium,Bushwick,16:52,4.8,false
241,Ocean Blue Grill,French,cheap,Park Slope,20:45,3.4,true
242,The Velvet Fork,Greek,expensive,Williamsburg,19:50,3.0,true
243,Sizzle & Spice,Chinese,cheap,Jackson Heights,2:41,4.5,true
244,Crispy Crust Pizzeria,French,expensive,Greenpoint,8:42,4.8,true
245,The Hungry Hippo,Chinese,medium,Harlem,2:36,4.8,false
246,The Velvet Fork,Mexican,medium,Park Slope,5:43,3.5,true
247,The Velvet Fork,Greek,cheap,Harlem,10:32,1.0,true
248,The Hungry Hippo,Mexican,medium,Harlem,13:37,2.3,false
249,Ocean Blue Grill,American,expensive,Bushwick,18:28,0.6,true
250,Saffron Delight,American,expensive,Astoria,0:54,0.5,false
251,The Hungry Hippo,Thai,expensive,Hell's Kitchen,6:53,1.4,true
252,The Hungry Hippo,Italian,medium,Bushwick,10:00,2.4,false
253,Ocean Blue Grill,French,medium,Hell's Kitchen,2:36,0.7,true
254,Whisk & Ladle,Greek,expensive,Astoria,23:40,2.3,false
255,Crispy Crust Pizzeria,Indian,medium,Jackson Heights,18:05,3.2,true
256,The Cozy Corner,American,expensive,Hell's Kitchen,21:13,3.0,true
257,Mango Tango,Thai,expensive,Harlem,12:16,1.7,true
258,The Velvet Fork,Japanese,expensive,Bushwick,13:37,1.4,false
259,Crispy Crust Pizzeria,Mexican,medium,Chelsea,0:54,0.6,false
260,Ocean Blue Grill,Italian,expensive,Chelsea,6:38,3.5,true
261,Whisk & Ladle,French,cheap,Williamsburg,20:01,2.0,true
262,Crispy Crust Pizzeria,French,cheap,Astoria,3:58,3.0,false
263,The Velvet Fork,Japanese,expensive,Jackson Heights,7:36,4.1,true
264,Crispy Crust Pizzeria,French,medium,Astoria,6:19,2.9,true
265,The Cozy Corner,Chinese,cheap,Chelsea,6:50,4.4,true
266,Flamingo Bistro,Mediterranean,expensive,Jackson Heights,4:13,1.7,false
267,Saffron Delight,Mexican,medium,Upper East Side,22:20,2.0,true
268,Crispy Crust Pizzeria,Indian,expensive,Upper East Side,9:48,2.9,false
269,Crispy Crust Pizzeria,Italian,expensive,Park Slope,1:17,2.8,true
270,Mango Tango,American,medium,Harlem,16:32,2.7,false
271,Mango Tango,American,expensive,Park Slope,5:27,3.3,false
272,The Hungry Hippo,Greek,cheap,Hell's Kitchen,3:39,1.0,true
273,The Cozy Corner,French,cheap,Jackson Heights,8:01,0.8,true
274,Mango Tango,Mediterranean,expensive,Chelsea,2:02,4.1,false
275,Sizzle & Spice,French,expensive,Park Slope,6:26,1.5,true
276,The Velvet Fork,Mexican,expensive,Astoria,10:21,1.7,false
277,Mango Tango,Thai,cheap,Park Slope,10:00,4.6,false
278,Whisk & Ladle,American,expensive,Harlem,11:04,1.3,true
279,Mango Tango,Greek,cheap,Greenpoint,11:33,0.1,true
280,Saffron Delight,Greek,cheap,Upper East Side,19:02,2.1,true
281,The Hungry Hippo,Japanese,medium,Astoria,21:27,2.3,true
282,Mango Tango,Indian,medium,Chelsea,6:02,1.9,false
283,The Cozy Corner,Mexican,medium,Bushwick,21:30,3.5,true
284,Crispy Crust Pizzeria,Chinese,expensive,Upper East Side,23:02,0.1,true
285,Crispy Crust Pizzeria,Greek,cheap,Park Slope,4:52,0.5,false
286,Flamingo Bistro,Greek,medium,Upper East Side,14:43,3.2,true
287,The Hungry Hippo,American,cheap,Park Slope,12:46,0.6,false
288,Whisk & Ladle,French,medium,Bushwick,14:04,4.6,false
289,The Cozy Corner,Japanese,expensive,Upper East Side,14:07,1.7,true
290,Flamingo Bistro,Thai,expensive,Greenpoint,6:10,2.8,true
291,The Hungry Hippo,Chinese,medium,Hell's Kitchen,0:53,2.9,false
292,Ocean Blue Grill,Indian,expensive,Williamsburg,11:51,3.6,false
293,The Velvet Fork,Thai,medium,Chelsea,5:35,1.6,false
294,The Velvet Fork,Chinese,medium,Chelsea,20:19,1.3,false
295,Crispy Crust Pizzeria,Mexican,expensive,Bushwick,4:29,2.1,false
296,Whisk & Ladle,French,cheap,Park Slope,21:47,4.8,true
297,Saffron Delight,Italian,cheap,Williamsburg,20:35,1.1,true
298,Saffron Delight,Japanese,expensive,Astoria,16:04,1.2,true
299,Sizzle & Spice,Indian,medium,Harlem,5:38,0.3,true
300,The Hungry Hippo,Italian,expensive,Hell's Kitchen,14:52,2.4,false
301,The Cozy Corner,Italian,cheap,Astoria,16:44,3.2,true
302,Ocean Blue Grill,Thai,cheap,Hell's Kitchen,12:09,0.5,false
303,Crispy Crust Pizzeria,Mediterranean,cheap,Hell's Kitchen,3:40,3.7,false
304,Mango Tango,Indian,medium,Williamsburg,22:40,1.0,true
305,Crispy Crust Pizzeria,Japanese,medium,Harlem,7:46,2.4,true
306,Sizzle & Spice,French,medium,Upper East Side,13:54,1.9,false
307,The Cozy Corner,French,expensive,Jackson Heights,10:33,3.4,true
308,Saffron Delight,Greek,medium,Hell's Kitchen,23:52,4.2,false
309,Crispy Crust Pizzeria,Greek,cheap,Greenpoint,5:10,3.6,false
310,Mango Tango,Thai,cheap,Bushwick,2:21,3.8,false
311,The Hungry Hippo,Greek,medium,Williamsburg,12:32,4.1,false
312,The Hungry Hippo,Japanese,medium,Bushwick,3:13,1.5,true
313,Crispy Crust Pizzeria,American,expensive,Chelsea,23:57,4.6,true
314,The Hungry Hippo,Thai,expensive,Williamsburg,6:06,1.7,true
315,Ocean Blue Grill,Mexican,expensive,Bushwick,15:12,4.5,true
316,Sizzle & Spice,Chinese,medium,Hell's Kitchen,22:56,1.0,true
317,Sizzle & Spice,Thai,expensive,Chelsea,22:51,2.2,true
318,Ocean Blue Grill,French,cheap,Hell's Kitchen,9:54,0.4,false
319,Mango Tango,Mediterranean,cheap,Hell's Kitchen,8:01,0.8,true
320,Ocean Blue Grill,Mexican,cheap,Jackson Heights,10:56,1.7,false
321,The Hungry Hippo,Mexican,cheap,Hell's Kitchen,8:24,2.9,true
322,Ocean Blue Grill,Thai,medium,Greenpoint,21:51,3.7,false
323,The Velvet Fork,French,expensive,Park Slope,8:53,2.6,true
324,Crispy Crust Pizzeria,Greek,expensive,Williamsburg,1:19,0.3,true
325,Crispy Crust Pizzeria,Chinese,expensive,Harlem,11:44,4.7,false
326,The Cozy Corner,Thai,medium,Jackson Heights,0:58,2.6,false
327,The Hungry Hippo,American,medium,Bushwick,3:10,3.4,false
328,Crispy Crust Pizzeria,Mediterranean,expensive,Astoria,6:59,2.8,false
329,Crispy Crust Pizzeria,Greek,cheap,Chelsea,14:48,0.4,true
330,Saffron Delight,Japanese,expensive,Hell's Kitchen,22:57,0.3,false
331,Flamingo Bistro,Thai,expensive,Greenpoint,0:37,0.4,true
332,Flamingo Bistro,Thai,cheap,Astoria,13:05,2.8,true
333,The Cozy Corner,American,medium,Park Slope,13:55,2.0,false
334,The Velvet Fork,Italian,expensive,Greenpoint,21:06,1.9,true
335,Crispy Crust Pizzeria,Mediterranean,cheap,Park Slope,18:58,3.6,false
336,Mango Tango,French,medium,Upper East Side,6:41,3.0,true
337,Crispy Crust Pizzeria,Mexican,cheap,Hell's Kitchen,0:29,2.7,true
338,Saffron Delight,Italian,medium,Jackson Heights,11:33,2.4,false
339,Whisk & Ladle,Japanese,cheap,Chelsea,17:05,0.1,true
340,Sizzle & Spice,Indian,medium,Greenpoint,14:53,3.4,false
341,The Velvet Fork,Mediterranean,expensive,Astoria,15:26,3.5,false
342,The Cozy Corner,Thai,medium,Harlem,4:48,3.2,true
343,The Cozy Corner,Mexican,cheap,Park Slope,18:10,4.1,true
344,Mango Tango,Greek,cheap,Park Slope,10:03,0.8,false
345,The Velvet Fork,Indian,expensive,Astoria,23:19,2.7,true
346,The Velvet Fork,French,cheap,Harlem,12:31,4.7,false
347,Crispy Crust Pizzeria,French,cheap,Harlem,18:36,2.3,false
348,Sizzle & Spice,Indian,expensive,Park Slope,19:07,1.6,false
349,Ocean Blue Grill,Chinese,expensive,Williamsburg,10:41,3.7,false
350,The Hungry Hippo,American,expensive,Greenpoint,15:53,0.4,false
351,The Cozy Corner,Italian,expensive,Chelsea,21:54,0.9,true
352,Ocean Blue Grill,Thai,expensive,Park Slope,9:09,3.0,true
353,Mango Tango,Italian,expensive,Jackson Heights,18:30,4.2,false
354,Flamingo Bistro,Thai,expensive,Chelsea,1:22,1.0,true
355,Crispy Crust Pizzeria,Mexican,medium,Astoria,1:26,3.8,false
356,Flamingo Bistro,Chinese,expensive,Williamsburg,22:40,4.2,false
357,Crispy Crust Pizzeria,Mexican,expensive,Greenpoint,20:59,2.1,true
358,Mango Tango,Indian,medium,Chelsea,23:00,1.1,true
359,Sizzle & Spice,Indian,cheap,Astoria,11:15,1.3,false
360,Whisk & Ladle,Japanese,cheap,Upper East Side,21:14,2.7,false
361,Saffron Delight,American,medium,Bushwick,22:49,4.3,true
362,Flamingo Bistro,Mediterranean,expensive,Hell's Kitchen,4:08,3.2,false
363,Ocean Blue Grill,Thai,expensive,Bushwick,0:50,3.3,false
364,Mango Tango,Mediterranean,expensive,Park Slope,22:48,2.3,true
365,The Velvet Fork,American,cheap,Park Slope,20:33,0.1,true
366,Whisk & Ladle,Thai,expensive,Harlem,6:30,1.7,false
367,Ocean Blue Grill,American,medium,Williamsburg,3:58,4.4,true
368,The Velvet Fork,Italian,cheap,Jackson Heights,9:46,1.3,true
369,Crispy Crust Pizzeria,Indian,medium,Hell's Kitchen,1:29,2.4,true
370,Flamingo Bistro,Greek,medium,Greenpoint,12:32,3.6,false
371,Sizzle & Spice,Greek,medium,Park Slope,9:11,2.9,false
372,Sizzle & Spice,Japanese,expensive,Astoria,5:49,3.9,false
373,Flamingo Bistro,Mexican,expensive,Harlem,16:34,1.1,false
374,The Velvet Fork,Indian,cheap,Jackson Heights,22:52,1.5,false
375,Saffron Delight,Thai,cheap,Park Slope,21:09,0.2,false
376,The Hungry Hippo,Greek,cheap,Jackson Heights,21:11,3.5,false
377,Ocean Blue Grill,Japanese,cheap,Williamsburg,10:12,3.8,false
378,Ocean Blue Grill,Japanese,expensive,Williamsburg,15:25,4.7,false
379,Whisk & Ladle,Italian,medium,Jackson Heights,9:12,2.9,true
380,Whisk & Ladle,Thai,medium,Astoria,4:58,0.2,true
381,The Velvet Fork,Indian,expensive,Harlem,15:28,1.3,true
382,Mango Tango,Mediterranean,cheap,Jackson Heights,18:41,2.6,true
383,The Velvet Fork,Mediterranean,expensive,Park Slope,1:34,1.1,true
